Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
51,LPD 51,434.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
52,LPD 52,434.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
53,LPD 53,434.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
54,LPD 54,434.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
55,LPD 55,434.425000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
56,LPD 56,434.450000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
57,LPD 57,434.475000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
58,LPD 58,434.500000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
59,LPD 59,434.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
60,LPD 60,434.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
61,LPD 61,434.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
62,LPD 62,434.600000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
63,LPD 63,434.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
64,LPD 64,434.650000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
65,LPD 65,434.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
66,LPD 66,434.700000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
67,LPD 67,434.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,6.25,,1.5W,,,,,
